ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
729,8/27/2020,2020,,Direccion Nacional de Migraciones (Argentina's official immigration agency),Argentina,,,,Government Facilities,,NetWalker,S0457,4 hours,1 day or less,355 bitcoins,$4 million,$5000000 or less,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/netwalker-ransomware-hits-argentinian-government-demands-4-million/,,"Border crossing was suspended for 4 hours. Ransom was originally 2 million dollars, but increased to 4 million after 7 days passed without payment"
730,8/27/2020,2020,,Clark County School District,NV,,,,Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://news3lv.com/news/local/ccsd-says-it-was-targeted-in-ransomware-attack; https://www.8newsnow.com/news/local-news/ccsd-releases-update-on-recent-ransomware-attack-offers-credit-monitoring-to-employees/,,
731,8/28/2020,2020,,Selma Unified School District,CA,,,,Education Facilities Subsector,,,,,,,,,,,,https://kmph.com/news/local/selma-unified-hit-with-ransomware-attack,,
732,8/30/2020,2020,,Newcastle University,England,,,,Education Facilities Subsector,,Doppelpaymer,,several weeks,1 month or less,,,,,,,https://www.theregister.com/2020/09/08/newcastle_northumbria_universities_cyber_attack/,,
733,8/30/2020,2020,End of Aug-2020,QNAP,Taiwan,,,,Information Technology,,AgeLocker,,,,Undisclosed bitcoin,,,,,,https://www.bleepingcomputer.com/news/security/agelocker-ransomware-targets-qnap-nas-devices-steals-data/,,
734,8/31/2020,2020,,Anglicare Sydney (aged care provider),Australia,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.abc.net.au/news/2020-09-19/anglicare-sydney-victim-of-cyber-security-breach-involving-data/12681510,,
735,9/1/2020,2020,Sep-20,Jands,Australia,,,,Critical Manufacturing,,NetWalker,S0457,,,,,,,,,https://www.itwire.com/security/australian-company-jands-appears-to-have-been-hit-by-windows-ransomware.html,,
736,9/1/2020,2020,Sep-20,Cygilant (threat detection cybersecurity company),Global,,,,Information Technology,,NetWalker,S0457,,,,,,,,,https://techcrunch.com/2020/09/03/cygilant-ransomware/,,"Reported affected technology environment. Company did not disclose if they paid or not, but leaked files online have disappeared, suggesting possible payment"
737,9/1/2020,2020,Sep-20,Tower (wireless chip and camera sensors manufacturer),Israel,,,,Information Technology,,,,,,,"""hundreds of thousands of dollars""",$1000000 or less,Yes,,"""hundreds of thousands of dollars""","https://www.calcalistech.com/ctech/articles/0,7340,L-3848490,00.html",,Resulted in suspension of production lines
738,9/1/2020,2020,Sep-20,Fourth Judicial District Court of Louisiana,LA,,,,Government Facilities,,Conti,S0575,,,,,,,,,https://www.infosecurity-magazine.com/news/us-court-documents-published-in/,,
739,9/1/2020,2020,,SoftServe,Ukraine,,,,Information Technology,,RansomEXX/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/softserve-hit-by-ransomware-windows-customization-tool-exploited/,,
740,9/1/2020,2020,Sep-20,Karachi Police Office,Pakistan,,,,Government Facilities,,,,,,Rp 9980,,,,,,https://jang.com.pk/news/819076; https://www.bleepingcomputer.com/news/security/the-week-in-ransomware-september-11th-2020-a-barrage-of-attacks/,,"Assumed currency to be Rp. Not specified in article translation, so used currency of Pakistan"
741,9/1/2020,2020,Sep-20,Veiligheidsregio Noord- en Oost-Gelderland (VNOG) (Gelderland security region),Netherlands,,,,Government Facilities,,,,,,,,,,,,https://nltimes.nl/2020/09/14/gelderland-security-region-hit-ransomware-attack,,
742,9/1/2020,2020,,Toledo Ohio Schools?,OH,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.newsbreak.com/news/2057464669691/cyberattack-shuts-down-ohio-online-classes,,
743,9/1/2020,2020,Sep-20,Artech Information Systems,USA,,,,Information Technology,,Maze,S0449,,,,,,,,,https://www.infosecurity-magazine.com/news/us-staffing-firm-hit-by-ransomware/,Company hit previously in Jan 2020 (ID470),
744,9/1/2020,2020,Sep-20,University Hospital New Jersey,NJ,,,,Healthcare and Public Health,,SunCrypt,,,,,,,,,,https://www.bleepingcomputer.com/news/security/university-hospital-new-jersey-hit-by-suncrypt-ransomware-data-leaked/,,
745,9/1/2020,2020,Sep-20,Nonin Medical,MN,,,,Healthcare and Public Health,,Pysa/Mespinoza,S0583,,,,,,,,,https://healthitsecurity.com/news/ransomware-hacking-groups-post-data-from-5-healthcare-entities,,
746,9/1/2020,2020,Sep-20,SegurCaixa Adeslas (insurance company),Spain,,,,Financial Services,,,,,,,,,,,,https://www.europapress.es/economia/finanzas-00340/noticia-segurcaixa-adeslas-activa-plan-contingencia-ataque-ransomware-20200910191611.html,,
747,9/1/2020,2020,Sept-20,Haberdashers’ Monmouth Schools,Wales,,,,Education Facilities Subsector,,Revil/sodinokibi,S0496,1,1 day or less,1 million euros,,,No,N/A,N/A,https://blocksandfiles.com/2020/12/09/airgapped-defence-helps-schools-in-ransomware-attack/,,
748,9/1/2020,2020,Sept-20,Designer Shoe Warehouse's (DSW) Software Vendor,Global,,,,Commercial Facilities,,,,2 weeks,1 month or less,,,,,,,https://www.supplychaindive.com/news/DSW-Designer-Brands-ransomware-attack-cybersecurity-inventory/591970/,,
749,9/2/2020,2020,,King George County Schools,VA,,,,Education Facilities Subsector,,,,5 days,1 week or less,,,,,,,https://fredericksburg.com/news/local/king-george-will-resume-virtual-classes-tuesday-after-resolving-cyberattack/article_92b81153-a7cc-56c5-ad3d-cd620df42ad1.html,,
750,9/5/2020,2020,,City of Hartford,CT,,,,Education Facilities Subsector,Government Facilities,,,,,,,,No,N/A,N/A,https://www.courant.com/community/hartford/hc-news-hartford-ransomware-schools-20200908-zaq4q6n3pza47i4p6lv5lfefm4-story.html,,"Delayed the start of the school year, which was partly online due to COVID-19. Hackers indicated it was a ransomware attack, but made no ransom (just left an email address)."
751,9/7/2020,2020,,Banco Estado (Public Bank),Chile,,,,Financial Services,,Revil/sodinokibi,S0496,,,,,,,,,https://cointelegraph.com/news/major-chilean-bank-shuts-down-all-branches-following-ransomware-attack,,originated from office document infected with malware that an employee received and opened. Operations were down for at least a day
752,9/7/2020,2020,,Equinix,CA,,,,Information Technology,,NetWalker,S0457,,,455 bitcoin,$4.5 million,$5000000 or less,,,,https://www.bleepingcomputer.com/news/security/equinix-data-center-giant-hit-by-netwalker-ransomware-45m-ransom/; https://securityaffairs.co/wordpress/108115/cyber-crime/equinix-netwalker-ransomware.html?utm_source=rss&utm_medium=rss&utm_campaign=equinix-netwalker-ransomware,,"did not impact data centers or service offerings (customers not affected), only affected internal business relations. was threatened that ransom would increase to $9 million if not paid by certain time"
753,9/7/2020,2020,,K-Electric (electric utility supplier),Pakistan,,,,Energy,,NetWalker,S0457,reportedly back up Sep 14,1 week or less,$3.85 million in bitcoin,$3.85 million,$5000000 or less,No,N/A,N/A,https://securityboulevard.com/2020/09/pakistans-largest-power-supplier-hit-by-netwalker-ransomware/; https://latesthackingnews.com/2020/09/14/pakistans-power-utility-k-electric-suffered-ransomware-attack/; https://www.bleepingcomputer.com/news/security/hackers-leak-files-stolen-in-pakistans-k-electric-ransomware-attack/,,Disrupted billing and online services. power delivery not affected
754,9/8/2020,2020,,Toledo Public Schools (TPS),OH,,,,Education Facilities Subsector,,Maze,S0449,,,,,,,,,https://nbc24.com/news/local/tps-confirms-ransomware-attack-that-exposed-staff-and-students-personal-information; https://www.databreaches.net/privacy-nightmare-for-toledo-public-schools-hackers-dumped-student-and-employee-data/,,
755,9/8/2020,2020,,The College Nurses of Ontario,Canada,,,,Education Facilities Subsector,Healthcare and Public Health,,,,More than 1 month,,,,No,N/A,N/A,https://globalnews.ca/news/7344192/ontario-nurses-college-ransomware-cyberattack/; https://www.insurancebusinessmag.com/ca/news/cyber/nursing-body-recovers-from-ransomware-attack-but-does-not-reveal-if-info-was-stolen-235231.aspx,,
756,9/9/2020,2020,,Great Falls Public Schools,MT,,,,Education Facilities Subsector,,,,More than 1 week as of 9/16,1 month or less,,,,,,,https://www.greatfallstribune.com/story/news/education/2020/09/15/great-falls-public-schools-work-recover-network-ransomware-attack/5805453002/,,
757,9/9/2020,2020,,Jekyll Island Authority,GA,,,,Government Facilities,,,,,,,,,,,,https://thebrunswicknews.com/news/local_news/jia-computer-system-infiltrated-in-ransomware-attack/article_be4bcce8-071a-544c-8a4e-d4e4c3a4dfd5.html,,
758,9/9/2020,2020,,Development Bank of Seychelles,Seychelles,,,,Financial Services,,,,,,,,,,,,https://securityboulevard.com/2020/09/seychelles-bank-doesnt-know-how-it-got-infected-with-ransomware-last-week/,,
759,9/10/2020,2020,,Duesseldorf University Hospital,Germany,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.securityweek.com/german-hospital-hacked-patient-taken-another-city-dies,,"A woman who needed urgent admission to the hospital died after needing to travel 20 miles to a different hospital due to the attack.
The hospital was not the intended target- the ransom note was addressed to Heinrich Heine University (an affiliate of the hospital). Once notified of the mixup, the attackers withdrew the extortion attempt and provided the decryption key."
760,9/11/2020,2020,,Fairfax County Public Schools,VA,,,,Education Facilities Subsector,,Maze,S0449,,,,,,,,,https://www.darkreading.com/attacks-breaches/virginias-largest-school-system-hit-with-ransomware/d/d-id/1338906,,
761,9/13/2020,2020,,Newhall School District,CA,,,,Education Facilities Subsector,,,,,,Undisclosed bitcoin,,,,,,https://www.foxla.com/news/newhall-school-district-halts-distance-learning-after-ransomware-attack,,
762,9/14/2020,2020,,IPG Photonics,MA,,,,Critical Manufacturing,,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/leading-us-laser-developer-ipg-photonics-hit-with-ransomware/,,"Caused IT systems to be shutdown worldwide, resulting in manufacturing and shipping to be unavailable"
763,9/14/2020,2020,,US Fertility,USA,,,,Healthcare and Public Health,,,,,,,,,,,,https://techcrunch.com/2020/11/26/us-fertility-ransomware-attack/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAKkBVUc6DrnDJmNGmOTId49wbps5iNMMboNqXYSHdqfc21p0oPfEGOQEoi-EACmQ93_S8k0PdWlblDRX6IFBI5ofnrORcP3PIXpNDzeXZGevPZMm2CNlW58YlyPDWLtyoulndWQm1V0ZfbuXkCSqZhjFTqErDUfHZ2UxjTn8f5CE,,
764,9/20/2020,2020,,"Luxotitica (eye wear, Ray-Ban parent company)",Italy,,,,Commercial Facilities,,,,,,,,,,,,https://www.insurancebusinessmag.com/us/news/cyber/luxottica-gets-blindsided-by-ransomware-attack-234388.aspx,,
765,9/20/2020,2020,,Cache Creek Casino Resort,CA,,,,Commercial Facilities,,,,,,,,,,,,https://www.sacbee.com/news/local/article246132265.html,,being investigated as a ransomware attack but not yet confirmed
766,9/20/2020,2020,,eResearchTechnology (includes IQVIA and Bristol Myers Squibb),PA,,,,Information Technology,Healthcare and Public Health,,,,,,,,,,,https://www.nytimes.com/2020/10/03/technology/clinical-trials-ransomware-attack-drugmakers.html,,ERT has been making COVID-19 vaccines; attacked during COVID-19 trials
767,9/20/2020,2020,,Gefco,France,,,,Transportation Systems,,,,,,,,,,,,"https://www.automotivelogistics.media/logistics-service-providers/imo-cma-cgm-gefco-hit-by-cyber-attacks/41156.article ;
https://theloadstar.com/gefco-says-cyber-attack-on-its-system-was-designed-to-disrupt-our-business/ ;
https://therecord.media/cert-france-lockean-ransomware-group-behind-attacks-on-french-companies/",,Ransomware affiliate group identified as Lockean
768,9/20/2020,2020,,Cache Creek Casino Resort (Yocha Dehe Wintun Nation),CA,,,,Commercial Facilities,,,,reopened fully on Oct 13,1 month or less,,,,,,,https://tribalbusinessnews.com/sections/gaming/13198-trio-of-tribal-casinos-hit-by-recent-external-cyber-attacks,,
769,9/22/2020,2020,,Milcreek Township,PA,,,,Government Facilities,,,,,,,"$250,000 ",$1000000 or less,Yes,,Less than $250000,https://www.erienewsnow.com/story/42683939/millcreek-township-confirms-computer-system-hacked-erie-news-now-uncovers-township-hit-by-ransomware-attack?utm_medium=social&utm_source=facebook_Erie_News_Now,,
770,9/22/2020,2020,,eResearchTechnology (ERT),PA,,,,Healthcare and Public Health,Information Technology,,,,,,,,,,,https://www.fiercebiotech.com/cro/as-ert-hit-by-ransomware-attack-trial-company-kicks-out-old-chief-as-covid-work-delayed,,
771,9/23/2020,2020,,Tyler Technologies,TX,,,,Information Technology,Government Facilities,RansomExx/defray,,,1 month or less,,,,Yes,,,https://krebsonsecurity.com/2020/09/govt-services-firm-tyler-technologies-hit-in-apparent-ransomware-attack/; https://www.bleepingcomputer.com/news/security/tyler-technologies-paid-ransomware-gang-for-decryption-key/,,
772,9/23/2020,2020,,Unnamed external cloud vendor,Unspecified,,,,Information Technology,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/vendor-ransomware-attack-exposes-patient-information-at-south-carolina-practice.html,,
773,9/25/2020,2020,,Kokomo-Howard Public Library,IN,,,,Education Facilities Subsector,,,,A few days,1 week or less,4 bitcoin,"$43,000",$50000 or less,Yes,Bitcoin,"3.36 bitcoin ($36,000)",http://kokomoperspective.com/kp/news/library-hit-with-ransomware-attack/article_aa2c67cc-6a4d-11eb-95f5-fb96634fb05e.html,,
774,9/26/2020,2020,,Arthur J Gallagher (AJG) (insurance brokerage and risk management firm),USA,,,,Financial Services,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-hits-us-based-arthur-j-gallagher-insurance-giant/,,
775,9/26/2020,2020,,Gallagher (Broker),USA,,,,Financial Services,,,,,,,,,,,,https://www.insurancenews.com.au/international/gallagher-hit-by-ransomware-attack,,
776,9/27/2020,2020,,Universal Health Services (UHS) Hospitals,USA,,,,Healthcare and Public Health,,Ryuk,S0446,3 weeks,1 month or less,,,,,,,https://www.bleepingcomputer.com/news/security/uhs-hospitals-hit-by-reported-country-wide-ryuk-ransomware-attack/; https://www.medicaleconomics.com/view/what-happens-if-the-affordable-care-act-is-overturned-part-1; https://patch.com/california/fremont/fremont-hospital-hit-ransomware-cyberattack; https://healthitsecurity.com/news/3-weeks-after-ransomware-attack-all-400-uhs-systems-back-online,,"Phishing likely as attack vector; four patients have died as an indirect result of the attack; includes Fremont Hospital (CA)
Recovery costs/lost revenue $67 million"
777,9/28/2020,2020,,"CMA CGM (french carrier, container line)",France,,,,Transportation Systems,,Ragnar Locker,S0481,,,,,,,,,https://gcaptain.com/shipping-giant-cma-cgm-hit-by-cyber-attack/,,
778,10/1/2020,2020,Oct-20,Daniel B. Hastings (Customs broker and freight forwarder) (Part of CPH Group),TX,,,,Transportation Systems,,Conti,S0575,,,,,,,,,https://www.freightwaves.com/news/ransomware-hackers-claims-attack-on-texas-customs-broker,,
779,10/1/2020,2020,Oct-20,E.W Wylie of Daseke Inc. (Trucking company),TX,,,,Transportation Systems,,Conti,S0575,,,,,,,,,https://www.freightwaves.com/news/truckers-personal-information-exposed-after-daseke-ransomware-attack,,
780,10/1/2020,2020,Oct-20,KYB Corporation,IN,,,,Critical Manufacturing,Transportation Systems,NetWalker,S0457,,,,,,,,,https://www.itwire.com/security/auto-equipment-maker-kyb-hit-by-windows-netwalker-ransomware.html,,
781,10/1/2020,2020,Oct-20,Beacon Health Solutions,FL,,,,Healthcare and Public Health,,Revil/sodinokibi,S0496,,,,,,,,,https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Attackers are leaking data
782,10/1/2020,2020,Oct-20,Wilmington Surgical Associates,NC,,,,Healthcare and Public Health,,NetWalker,S0457,,,,,,,,,https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Attackers claim to have stolen 13+ GB of data
783,10/1/2020,2020,Oct-20,Subsidiary of Shionogi & Co.,Japan and Taiwan,,,,Chemical,Healthcare and Public Health,,,,,,,,,,,https://www.japantimes.co.jp/news/2020/10/23/business/corporate-business/japan-shionogi-cyberattack-data-breach/,,
784,10/1/2020,2020,Oct-20,Hackney Council,UK,,,,Government Facilities,,Pysa/Mespinoza,S0583,Several months,More than 1 month,,,,,,,https://www.computerweekly.com/news/252494466/Hackney-Council-data-leaked-by-Pysa-ransomware-gang,,
785,10/3/2020,2020,,Software AG,Germany,,,,Information Technology,,Clop,S0611,,,,More than $20 million,More than $5000000,No,N/A,N/A,https://www.computerweekly.com/news/252490395/Software-AG-caught-in-double-extortion-ransomware-hit,,Clop began leaking data after not receiving payment
786,10/7/2020,2020,,Hall County,GA,,,,Government Facilities,,DoppelPaymer,,ongoing as of oct 23,,,,,,,,https://www.gainesvilletimes.com/news/government/hall-county-government-email-phone-services-down/; https://www.cnn.com/2020/10/22/tech/ransomware-election-georgia/index.html; https://gcn.com/articles/2020/10/26/ransomware-georgia-signature-database.aspx,,"The following systems were affected: voter signature database, voting precinct map, and other county functions. This attack occured a month before the 2020 Presidential Election. Resulted in time delay for verifying signatures"
787,10/8/2020,2020,,"Clearwater River Casino & Lodge, and the It’se Ye-Ye Casino (Nez Perce Tribe)",ID,,,,Commercial Facilities,,,,10 days,1 month or less,,,,,,,https://tribalbusinessnews.com/sections/gaming/13198-trio-of-tribal-casinos-hit-by-recent-external-cyber-attacks,,
788,10/10/2020,2020,,City of Mt. Pleasant,MI,,,,Government Facilities,,,,,1 day or less,,,,No,N/A,N/A,https://www.abc12.com/2020/10/12/mount-pleasant-digital-firewall-foils-ransomware-attack/,,
789,10/10/2020,2020,,Barnes & Noble,USA,,,,Commercial Facilities,,Egregor,S0554,2 days,1 week or less,,,,,,,https://www.zdnet.com/article/barnes-noble-confirms-cyberattack-customer-data-breach/,,
790,10/10/2020,2020,,KEOLIS Commuter Services [operator of the Massachusetts Bay Transportation Authority (MBTA) commuter rail network],MA,,,,Transportation Systems,,,,,,,,,,,,https://www.railjournal.com/technology/keolis-commuter-services-takes-boston-systems-offline-following-ransomware-attack/,,
791,10/11/2020,2020,,Sonoma Valley Hospital,CA,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,No,N/A,N/A,https://www.sonomanews.com/article/news/sonoma-hospitals-security-incident-was-russian-ransomware-attack/?sba=AAS; https://www.pressdemocrat.com/article/news/sonoma-valley-hospital-hit-by-cybercriminals-with-ransomware-attack/?sba=AAS,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
792,10/15/2020,2020,,SN Servicing Corporation,CA,,,,Financial Services,,Egregor,S0554,,,,,,No,N/A,N/A,https://thecybersecurity.news/general-cyber-security-news/mortgage-loan-servicing-company-discloses-ransomware-attack-to-multiple-states-5972/,,"Strain and pay status not confirmed, but the company is listed on egregor's leak site "
793,10/16/2020,2020,,Boyne Resorts,USA,,,,Commercial Facilities,,WastedLocker,S0612,,,,,,,,,https://www.bleepingcomputer.com/news/security/wastedlocker-ransomware-hits-boyne-resorts-ski-resort-operator/,,
794,10/17/2020,2020,,Dickinson County Health,MI,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,,,,https://www.hipaajournal.com/dickinson-county-health-suffers-ransomware-attack/; https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
795,10/17/2020,2020,,Chenango County,NY,,,,Government Facilities,,,,,,,,,,,,https://www.nbcnews.com/politics/2020-election/live-blog/2020-10-24-trump-biden-election-n1244363/ncrd1244650#liveBlogHeader,,"County email systems were infected, resulting in some absentee ballot registrations to not properly register"
796,10/19/2020,2020,,City of Shafter,CA,,,,Government Facilities,,,,,,,,,,,,https://www.turnto23.com/news/local-news/city-of-shafter-hit-with-ransomware-attack,,
797,10/19/2020,2020,,Société de transport de Montréal (STM) (public transport agency),Canada,,,,Transportation Systems,,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/montreals-stm-public-transport-system-hit-by-ransomware-attack/,,
798,10/19/2020,2020,,West End Medical Center,GA,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://healthitsecurity.com/news/ransomware-attack-hits-dickinson-county-health-spurs-ehr-downtime; https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Date listed is when Conti leaked data; data was taken down after a short period of time
799,10/19/2020,2020,,DeRoyal Industries,TN,,,,Critical Manufacturing,Healthcare and Public Health,,,,,,,,,,,https://www.knoxnews.com/story/news/crime/2020/10/27/deroyal-industries-tennessee-ransomware-attack/3754629001/,,
800,10/19/2020,2020,,Enel Group,Global,,,,Energy,,NetWalker,S0457,,,1234 bitcoin,$14 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/enel-group-hit-by-ransomware-again-netwalker-demands-14-million/,,
801,10/20/2020,2020,,Sopra Steria,France,,,,Information Technology,,Ryuk,S0446,,,,,,,,,https://www.bleepingcomputer.com/news/security/french-it-giant-sopra-steria-hit-by-ryuk-ransomware/,,
802,10/21/2020,2020,,Riverside Community Care,MA,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Date listed is when Conti leaked data
803,10/21/2020,2020,,Press Trust of India (PTI),India,,,,Communications,,LockBit,,several hours,1 day or less,,,,No,N/A,N/A,https://www.devdiscourse.com/article/technology/1273986-pti-services-disrupted-after-massive-ransomware-attack-on-servers,,
804,10/21/2020,2020,,X-Cart,Global,,,,Financial Services,Information Technology,,,several days,1 week or less,,,,No,N/A,N/A,https://portswigger.net/daily-swig/x-cart-customers-recovering-from-ransomware-attack-that-led-to-widespread-e-commerce-site-outages; https://www.zdnet.com/article/ransomware-hits-e-commerce-platform-x-cart/,,
805,10/22/2020,2020,,Steelcase Inc.,Global,,,,Critical Manufacturing,,Ryuk,S0446,two weeks,1 month or less,,,,,,,https://www.bleepingcomputer.com/news/security/steelcase-furniture-giant-hit-by-ryuk-ransomware-attack/; https://siliconangle.com/2020/11/12/furniture-maker-steelcase-shut-two-weeks-following-ransomware-attack/,,
806,10/22/2020,2020,,Mithaas (restaurant chain),India,,,,Food and Agriculture,,,,,,,,,,,,https://www.outlookindia.com/newsscroll/ransomware-attack-on-restaurant-chain-mithaas-probe-on/1964442,,
807,10/24/2020,2020,,Online storage vendor of Harvard Eye Associates,CA,,,,Healthcare and Public Health,,,,,,,,,Yes,,,https://healthitsecurity.com/news/hospital-recovers-from-ransomware-vendor-incidents-hit-kroeger-provider,,
808,10/25/2020,2020,,Serco,Europe,,,,Healthcare and Public Health,,Babuk,,,,,,,,,,https://www.computerweekly.com/news/252495684/Serco-confirms-Babuk-ransomware-attack,,UK’s COVID-19 Test and Trace system not affected by the attack
809,10/27/2020,2020,,Sky Lakes Medical Center,OR,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,,,,https://www.kdrv.com/content/news/Sky-Lakes-Medical-Center-targeted-in-ransomware-attack-572890331.html; https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
810,10/27/2020,2020,,"St. Lawrence Health System Hospitals (Canton-Potsdam, Gouverneur, and Massena)",NY,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,,,,https://www.nny360.com/news/stlawrencecounty/update-three-st-lawrence-county-hospitals-hit-by-ransomware-attack-tuesday/article_01778d25-333e-567b-8e03-6581fa571a37.html,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
811,10/27/2020,2020,,Isentia,Australia,,,,Communications,,,,,,,,,,,,https://www.infosecurity-magazine.com/news/isentia-reeling-after-suspected/,,Date is when the firm announced the attack to the public
812,10/28/2020,2020,,University of Vermont (UVM) Health Network,VT,,,,Healthcare and Public Health,,Ryuk,S0446,1 month,1 month or less,,,,No,N/A,N/A,https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292; https://www.democratandchronicle.com/story/news/2020/10/30/rochester-health-systems-step-up-cyber-security-amid-ransomware-attacks/6086925002/; https://healthitsecurity.com/news/uvm-health-brings-ehr-back-online-one-month-after-ransomware-attack; https://vtdigger.org/2020/12/22/ransomware-downed-uvm-medical-center-systems-but-no-payment-made/,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
813,10/28/2020,2020,,Chatham County Government,NC,,,,Government Facilities,Healthcare and Public Health,DoppelPaymer,,,More than 1 month,50 bitcoin,$2.4 million,$5000000 or less,No,N/A,N/A,https://www.beckershospitalreview.com/cybersecurity/ransomware-group-posts-stolen-north-carolina-county-health-data-online.html; https://www.bellinghamherald.com/news/business/article249285895.html,,Originated from phishing email with malicious attachment
814,11/1/2020,2020,,Campari Group,Italy,,,,Food and Agriculture,,Ragnar Locker,S0481,,,,,,,,,https://www.infosecurity-magazine.com/news/campari-group-rocks-after/,,
815,11/1/2020,2020,Nov-20,Banijay Group SAS,France,,,,Communications,,DoppelPaymer,,,,,,,,,,https://www.bleepingcomputer.com/news/security/masterchef-big-brother-producer-hit-by-doppelpaymer-ransomware/,,
816,11/1/2020,2020,Nov-20,Colliers International Group,Canada,,,,Commercial Facilities,,Netflim,,,,,,,,,,https://www.insurancebusinessmag.com/ca/news/cyber/colliers-international-group-gets-slammed-by-cyberattack-244294.aspx,,
817,11/3/2020,2020,,Brazil’s Superior Tribunal de Justiça (Court System),Brazil,,,,Government Facilities,,RansomExx/defray,,2 weeks,1 month or less,,,,,,,"https://www.bleepingcomputer.com/news/security/brazils-court-system-under-massive-ransomexx-ransomware-attack/ ;
https://www.bankinfosecurity.com/ransomware-hits-brazilian-national-treasury-a-17318",,
818,11/8/2020,2020,,Compal,Taiwan,,,,Critical Manufacturing,Information Technology,DoppelPaymer,,,,1100 bitcoin,"$16,725,500",More than $5000000,,,,https://www.bleepingcomputer.com/news/security/laptop-maker-compal-hit-by-ransomware-17-million-demanded/,,Deputy manager director denies ransomware attack
819,11/13/2020,2020,,Cencosud,Chile,,,,Commercial Facilities,,Egregor,S0554,,,,,,,,,https://www.bleepingcomputer.com/news/security/retail-giant-cencosud-hit-by-egregor-ransomware-attack-stores-impacted/,,
820,11/13/2020,2020,,City of Saint John,Canada,,,,Government Facilities,,,,,,,$17mil-$20mil,More than $5000000,No,N/A,N/A,https://www.cbc.ca/news/canada/new-brunswick/saint-john-cyberattack-ransomware-1.5977467,,
821,11/15/2020,2020,Middle of November 2020,K12 (AKA Stride Inc),USA,,,,Education Facilities Subsector,,Ryuk,S0446,,,,,,Yes,,,https://www.bleepingcomputer.com/news/security/k12-online-schooling-giant-pays-ryuk-ransomware-to-stop-data-leak/,,
822,11/16/2020,2020,,"Managed[.]com (Web Hosting Provider for Columbus County, NC, Griffin Hospital in CT, Arizona Judicial Branch, and Jackson County, OR, among others)",USA,,,,Information Technology,Government Facilities,Revil/sodinokibi,S0496,,,,,,,,,https://statescoop.com/local-governments-forced-offline-after-ransomware-targets-web-host/; https://www.wect.com/2020/11/18/ransomware-attack-brings-columbus-countys-website-down/; https://www.infosecurity-magazine.com/news/oregon-county-hit-by-ransomware/; https://www.thehour.com/business/article/Derby-s-Griffin-Hospital-website-taken-down-in-15739406.php?src=nwkhpbiz; https://www.azcentral.com/story/news/local/arizona/2020/11/19/arizona-judicial-branch-website-affected-ransomware-attack-provider/6346851002/,,resulted in email/website being down
823,11/16/2020,2020,,Americold,Global,,,,Critical Manufacturing,Food and Agriculture,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/cold-storage-giant-americold-hit-by-cyberattack-services-impacted/,,
824,11/17/2020,2020,,Paris-Normandie (french newspaper),France,,,,Communications,,,,,,,,,,,,https://www.govinfosecurity.com/from-st-louis-to-france-ransomware-victim-list-expands-a-15436,,
